"Name","Average.User.Rating","User.Rating.Count","Price","Developer","Age.Rating","Languages","Size","Primary.Genre","Genres"
"1","Sudoku",4,3553,2.99,"Mighty Mighty Good Games","4+","DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",15853568,"Games","Games, Strategy, Puzzle"
"2","Reversi",3.5,284,1.99,"Kiss The Machine","4+","EN",12328960,"Games","Games, Strategy, Board"
"3","Morocco",3,8376,0,"Bayou Games","4+","EN",674816,"Games","Games, Board, Strategy"
"4","Sudoku (Free)",3.5,190394,0,"Mighty Mighty Good Games","4+","DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",21552128,"Games","Games, Strategy, Puzzle"
"5","Senet Deluxe",3.5,28,2.99,"RoGame Software","4+","DA, NL, EN, FR, DE, EL, IT, JA, KO, NO, PT, RU, ZH, ES, SV",34689024,"Games","Games, Strategy, Board, Education"
"7","Gravitation",2.5,35,0,"Robert Farnum","4+","",6328320,"Games","Games, Entertainment, Puzzle, Strategy"
"9","Carte",2.5,44,0,"Jean-Francois Pautex","4+","FR",2657280,"Games","Games, Strategy, Board, Entertainment"
"10","\"Barrels O' Fun\"",2.5,184,0,"BesqWare","4+","EN",1466515,"Games","Games, Casual, Strategy"
"11","Quaddraxx",4.06090464224309,3306.53127893136,0,"H2F Informationssysteme GmbH","4+","EN",3089867,"Games","Games, Entertainment, Strategy, Puzzle"
"12","Lumen Lite",3.5,5072,0,"Bridger Maxwell","4+","EN",7086403,"Games","Games, Puzzle, Strategy"
"13","BubblePop",3,526,0,"TMSOFT","4+","EN",845008,"Games","Games, Strategy, Entertainment"
"14","Marple",3.5,989,0.99,"Mikko Kankainen","4+","EN",3643392,"Games","Games, Puzzle, Strategy"
"15","Tetravex Lite",2.5,2358,0,"Futrell Software","4+","EN",731525,"Games","Games, Puzzle, Strategy, Entertainment"
"16","Awele/Oware - Mancala HD",3,112,0,"SOLILAB","4+","EN, FR, DE, IT, ES",122826752,"Games","Games, Strategy, Board"
"17","Awele/Oware - Mancala HD",3,112,0,"SOLILAB","4+","EN, FR, DE, IT, ES",122826752,"Games","Games, Strategy, Board"
"18","Chess Game",3,504,0,"Memention Holding AB","4+","EN",444163,"Games","Games, Board, Strategy"
"19","Catcha Mouse",3.5,95971,0,"Meme, Inc","4+","EN",26820692,"Games","Games, Puzzle, Strategy"
"20","Cool Sudoku, Jigsaw, Killer",3.5,357,0,"Splash Software Ltd.","4+","EN",52236288,"Games","Games, Strategy, Puzzle, Entertainment"
"21","Mind the Corners",3,7,0.99,"Zentropy Software","4+","EN",1530880,"Games","Games, Strategy, Entertainment, Board"
